TransactionID,CustomerName,Date,Items
1,Ryan Parker,9/1/2025,"Potatoes,Cereal,Salt"
2,Laura Ryan,8/1/2025,"Juice,Salt"
3,Heather Jenkins,8/16/2025,"Cereal,Butter,Yogurt,Bananas,Potatoes,Chicken,Tea"
4,Jesse Holder,11/29/2024,"Coffee,Juice,Milk,Rice,Salt,Tea,Fish"
5,James Lopez,8/17/2025,"Rice,Toothpaste,Sugar,Oranges"
6,William Clark,2/10/2025,"Chicken,Bananas"
7,Dr. Matthew Mason DDS,7/2/2025,"Fish,Cheese,Toothpaste,Oil,Onions,Beef"
8,Raymond Quinn,11/3/2025,"Grapes,Fish"
9,Sarah Medina,12/2/2024,"Toothpaste,Chicken,Onions,Oil,Fish,Eggs"
10,Michelle Silva,12/19/2024,"Rice,Potatoes,Apples"
11,John Payne,3/23/2025,"Butter,Shampoo,Toothpaste"
12,Alexa Gordon,6/3/2025,"Flour,Eggs,Butter,Potatoes,Tomatoes,Carrots"
13,Bryan Roach,11/28/2024,"Pasta,Potatoes,Toothpaste,Butter,Flour"
14,Angelica Martinez,8/30/2025,"Oil,Butter,Onions,Pasta"
15,Michael Morales,11/12/2025,"Fish,Sugar,Salt,Pasta"
16,Angela White,1/11/2025,"Toothpaste,Fish,Flour,Pasta"
17,Lauren Johnson,5/9/2025,"Bread,Pasta,Tea,Rice"
18,Elizabeth Clark,10/22/2025,"Tomatoes,Oranges,Yogurt,Apples"
19,Gregory Adkins,1/20/2025,"Oil,Rice,Chicken,Fish"
20,Mark Lee,3/29/2025,"Cheese,Grapes,Eggs,Milk,Sugar,Bread,Apples"
21,Joseph Pena,5/25/2025,"Toothpaste,Yogurt"
22,Timothy Smith,7/14/2025,"Chicken,Potatoes,Carrots,Yogurt,Shampoo,Tomatoes,Onions"
23,Ethan Odom,3/28/2025,"Toothpaste,Butter,Pasta"
24,Carol Williams,3/2/2025,"Milk,Salt,Oil,Tomatoes,Juice,Flour,Grapes"
25,Leroy Williams,3/6/2025,"Pasta,Onions,Soap,Potatoes,Sugar"
26,Brian Scott,11/16/2025,"Onions,Bananas,Potatoes,Eggs,Butter,Salt,Juice"
27,Patricia Terry,9/8/2025,"Oranges,Oil,Coffee,Soap,Bread,Bananas"
28,Sarah Green,12/25/2024,"Sugar,Chicken,Soap"
29,Jason Martinez,1/1/2025,"Pasta,Shampoo"
30,Jason Miranda,9/3/2025,"Onions,Salt,Eggs,Potatoes"
31,Mrs. Kathleen Conley,1/1/2025,"Shampoo,Carrots,Oil"
32,Destiny Nichols,1/13/2025,"Milk,Grapes,Carrots"
33,Natalie Lee,1/16/2025,"Fish,Butter"
34,Pamela Bennett,10/21/2025,"Eggs,Soap,Potatoes,Flour"
35,Carla Young,1/26/2025,"Beef,Yogurt"
36,Marcus Moore,8/4/2025,"Fish,Shampoo"
37,Evan Martinez,12/16/2024,"Grapes,Pasta"
38,Aaron Hartman,8/1/2025,"Soap,Flour,Grapes,Bananas,Cheese"
39,Mrs. Alexandra Roberts,3/28/2025,"Onions,Soap,Coffee,Flour"
40,Victoria Krueger,7/30/2025,"Grapes,Onions,Pasta,Yogurt"
41,Sydney Sweeney,6/2/2025,"Oil,Cheese,Milk,Beef,Carrots,Coffee"
42,Dawn Larson,9/30/2025,"Cheese,Toothpaste,Cereal,Apples,Juice,Soap"
43,David Harrell,1/28/2025,"Bread,Fish,Cheese"
44,Gabriel Williams,10/17/2025,"Oranges,Soap,Bananas,Beef,Shampoo,Chicken,Yogurt"
45,Andrew Hawkins,9/6/2025,"Flour,Potatoes,Butter,Juice"
46,Megan Bass,6/19/2025,"Juice,Cheese,Onions,Rice,Oranges"
47,Aaron Blackwell,9/22/2025,"Chicken,Tea,Shampoo"
48,Paul Carrillo,6/12/2025,"Yogurt,Sugar"
49,Jennifer Williams,11/23/2024,"Onions,Potatoes,Tea"
50,Shawn Michael,12/22/2024,"Juice,Toothpaste,Apples,Coffee"
51,Anne Beard,3/24/2025,"Salt,Chicken,Coffee,Cheese"
52,Daniel Fitzgerald,3/18/2025,"Sugar,Potatoes,Coffee,Oranges"
53,David Rivera,12/28/2024,"Milk,Bread,Tomatoes"
54,Anthony White,5/17/2025,"Cereal,Fish,Cheese,Coffee,Apples"
55,Krista Hamilton,2/10/2025,"Carrots,Rice,Tea,Shampoo,Soap,Flour"
56,Jennifer Bass,5/3/2025,"Butter,Tomatoes"
57,Isabel Velez,9/22/2025,"Cheese,Flour,Tea"
58,Christopher Ramos,9/16/2025,"Rice,Milk,Apples,Coffee,Toothpaste,Oil,Carrots"
59,George Coleman,10/21/2025,"Soap,Cereal,Pasta"
60,Jessica Dunn,1/26/2025,"Potatoes,Bread,Milk,Oranges,Tea,Toothpaste"
61,Zachary Martin,10/2/2025,"Sugar,Shampoo"
62,Christopher Thomas,5/8/2025,"Chicken,Sugar,Apples,Eggs,Grapes,Juice,Beef"
63,Benjamin Martin,6/1/2025,"Eggs,Carrots,Toothpaste,Rice,Yogurt,Cheese"
64,Donald Rivera,7/3/2025,"Carrots,Toothpaste,Onions,Cereal"
65,Richard Davis,6/16/2025,"Apples,Eggs,Flour"
