TransactionID,CustomerName,Date,Items,cleaned_items
1,Ryan Parker,09-01-25,"Potatoes,Cereal,Salt",cereal; potatoes; salt
2,Laura Ryan,08-01-25,"Juice,Salt",juice; salt
3,Heather Jenkins,8/16/2025,"Cereal,Butter,Yogurt,Bananas,Potatoes,Chicken,Tea",bananas; butter; cereal; chicken; potatoes; tea; yogurt
4,Jesse Holder,11/29/2024,"Coffee,Juice,Milk,Rice,Salt,Tea,Fish",coffee; fish; juice; milk; rice; salt; tea
5,James Lopez,8/17/2025,"Rice,Toothpaste,Sugar,Oranges",oranges; rice; sugar; toothpaste
6,William Clark,02-10-25,"Chicken,Bananas",bananas; chicken
7,Dr. Matthew Mason DDS,07-02-25,"Fish,Cheese,Toothpaste,Oil,Onions,Beef",beef; cheese; fish; oil; onions; toothpaste
8,Raymond Quinn,11-03-25,"Grapes,Fish",fish; grapes
9,Sarah Medina,12-02-24,"Toothpaste,Chicken,Onions,Oil,Fish,Eggs",chicken; eggs; fish; oil; onions; toothpaste
10,Michelle Silva,12/19/2024,"Rice,Potatoes,Apples",apples; potatoes; rice
11,John Payne,3/23/2025,"Butter,Shampoo,Toothpaste",butter; shampoo; toothpaste
12,Alexa Gordon,06-03-25,"Flour,Eggs,Butter,Potatoes,Tomatoes,Carrots",butter; carrots; eggs; flour; potatoes; tomatoes
13,Bryan Roach,11/28/2024,"Pasta,Potatoes,Toothpaste,Butter,Flour",butter; flour; pasta; potatoes; toothpaste
14,Angelica Martinez,8/30/2025,"Oil,Butter,Onions,Pasta",butter; oil; onions; pasta
15,Michael Morales,11-12-25,"Fish,Sugar,Salt,Pasta",fish; pasta; salt; sugar
16,Angela White,01-11-25,"Toothpaste,Fish,Flour,Pasta",fish; flour; pasta; toothpaste
17,Lauren Johnson,05-09-25,"Bread,Pasta,Tea,Rice",bread; pasta; rice; tea
18,Elizabeth Clark,10/22/2025,"Tomatoes,Oranges,Yogurt,Apples",apples; oranges; tomatoes; yogurt
19,Gregory Adkins,1/20/2025,"Oil,Rice,Chicken,Fish",chicken; fish; oil; rice
20,Mark Lee,3/29/2025,"Cheese,Grapes,Eggs,Milk,Sugar,Bread,Apples",apples; bread; cheese; eggs; grapes; milk; sugar
