TransactionID,CustomerName,Date,Items,Original_Items,Cleaned_Items,Sorted_Items,cleaned_items
1,Ryan Parker,2025-09-01,"Potatoes,Cereal,Salt","['Potatoes', 'Cereal', 'Salt']","['potatoes', 'cereal', 'salt']","['cereal', 'potatoes', 'salt']",cereal; potatoes; salt
2,Laura Ryan,2025-08-01,"Juice,Salt","['Juice', 'Salt']","['juice', 'salt']","['juice', 'salt']",juice; salt
3,Heather Jenkins,2025-08-16,"Cereal,Butter,Yogurt,Bananas,Potatoes,Chicken,Tea","['Cereal', 'Butter', 'Yogurt', 'Bananas', 'Potatoes', 'Chicken', 'Tea']","['cereal', 'butter', 'yogurt', 'bananas', 'potatoes', 'chicken', 'tea']","['bananas', 'butter', 'cereal', 'chicken', 'potatoes', 'tea', 'yogurt']",bananas; butter; cereal; chicken; potatoes; tea; yogurt
4,Jesse Holder,2024-11-29,"Coffee,Juice,Milk,Rice,Salt,Tea,Fish","['Coffee', 'Juice', 'Milk', 'Rice', 'Salt', 'Tea', 'Fish']","['coffee', 'juice', 'milk', 'rice', 'salt', 'tea', 'fish']","['coffee', 'fish', 'juice', 'milk', 'rice', 'salt', 'tea']",coffee; fish; juice; milk; rice; salt; tea
5,James Lopez,2025-08-17,"Rice,Toothpaste,Sugar,Oranges","['Rice', 'Toothpaste', 'Sugar', 'Oranges']","['rice', 'toothpaste', 'sugar', 'oranges']","['oranges', 'rice', 'sugar', 'toothpaste']",oranges; rice; sugar; toothpaste
6,William Clark,2025-02-10,"Chicken,Bananas","['Chicken', 'Bananas']","['chicken', 'bananas']","['bananas', 'chicken']",bananas; chicken
7,Dr. Matthew Mason DDS,2025-07-02,"Fish,Cheese,Toothpaste,Oil,Onions,Beef","['Fish', 'Cheese', 'Toothpaste', 'Oil', 'Onions', 'Beef']","['fish', 'cheese', 'toothpaste', 'oil', 'onions', 'beef']","['beef', 'cheese', 'fish', 'oil', 'onions', 'toothpaste']",beef; cheese; fish; oil; onions; toothpaste
8,Raymond Quinn,2025-11-03,"Grapes,Fish","['Grapes', 'Fish']","['grapes', 'fish']","['fish', 'grapes']",fish; grapes
9,Sarah Medina,2024-12-02,"Toothpaste,Chicken,Onions,Oil,Fish,Eggs","['Toothpaste', 'Chicken', 'Onions', 'Oil', 'Fish', 'Eggs']","['toothpaste', 'chicken', 'onions', 'oil', 'fish', 'eggs']","['chicken', 'eggs', 'fish', 'oil', 'onions', 'toothpaste']",chicken; eggs; fish; oil; onions; toothpaste
10,Michelle Silva,2024-12-19,"Rice,Potatoes,Apples","['Rice', 'Potatoes', 'Apples']","['rice', 'potatoes', 'apples']","['apples', 'potatoes', 'rice']",apples; potatoes; rice
